火影：从双神威开始,龙卷 著,连载中,177.3万,3724.3万,129.1万,3724.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
神级上门女婿,橙色龙卷风 著,完本,200.2万,2867.5万,11.5万,2867.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
诸神世界:我成了一条河,水云邪神 著,连载中,9.3万,6.6万,1776,6.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从神格开始进化,李别浪 著,连载中,217.4万,1640.0万,16.0万,1640.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
末世怪物制造者,火影宝贝 著,连载中,31.6万,166.4万,1.5万,166.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从钢铁侠开始做评测,好白一块砖 著,连载中,90.2万,465.8万,3.6万,465.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
灵异：贫僧渡鬼就变强,小小蜡笔 著,连载中,75.1万,633.8万,4.7万,633.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
红警之末世指挥官,星无辰 著,连载中,236.5万,1488.7万,13.8万,1488.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
我的极品娇妻,真命小猪 著,完本,223.8万,3504.1万,17.9万,3504.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
第一女婿,吃肉和尚 著,完本,232.5万,4398.7万,36.3万,4398.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
重生都市修真,落月天风 著,完本,553.9万,2919.6万,4.3万,2919.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我有一间魔兽店,虎虎的汪 著,连载中,25.0万,69.5万,6091,69.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
赘婿归来,七星瓢虫 著,连载中,298.3万,1824.2万,14.8万,1824.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
神级种田高手,断欲 著,连载中,149.3万,394.3万,2.4万,394.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
洛克王国之究极进化,炎炎大火 著,连载中,67.5万,683.1万,5.8万,683.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
穿越洪荒之我哥是昊天,康先生 著,连载中,43.3万,184.2万,1.2万,184.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
王者荣耀之战神无敌,莽者无敌 著,连载中,70.1万,483.5万,3.4万,483.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我有一座超级海岛,指尖风月 著,完本,327.7万,5398.2万,75.9万,5398.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从反派聊天群开始崛起！,苏西爱喝奶 著,连载中,60.5万,280.6万,2.4万,280.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
绝地求生之无限爆装,秋风萧瑟 著,完本,132.1万,3187.2万,15.6万,3187.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
末世之神级猎魂师,黄小黄 著,连载中,65.4万,586.1万,5.5万,586.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游：开局带着神器重生,GY小魔 著,连载中,17.8万,39.3万,4488,39.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
财法仙途,木井 著,连载中,57.5万,232.3万,2.8万,232.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
灵气：别打扰我看小说,吃成球的橘猫 著,连载中,21.4万,50.3万,4235,50.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
拒绝继承亿万家产,慕北羡南 著,连载中,32.2万,157.6万,7864,157.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我家娘子是女帝,隔壁朋友 著,连载中,127.8万,2179.6万,24.1万,2179.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我在末世开商店,大有为 著,连载中,148.8万,1601.9万,7.2万,1601.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
愿望商店：只卖你最想要的东西,老猫有点拽 著,连载中,27.1万,77.9万,3957,77.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
我刷题有奖励,奶茶半价 著,连载中,36.9万,669.1万,4.3万,669.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
末世：每周一个神兽模板,猎炽 著,连载中,11.4万,12.5万,1901,12.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从怪兽开始吞噬进化,李南风 著,完本,127.9万,2441.6万,24.0万,2441.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
反派在上,芒果榴莲千层 著,连载中,40.6万,327.0万,4.1万,327.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
超级狂婿,神话 著,连载中,197.2万,1139.8万,8.8万,1139.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从一把剑开始杀戮进化,门前扫雪 著,连载中,153.3万,4049.1万,23.0万,4049.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
满级大佬的亿些地球生活,哼哼哈哈哈 著,连载中,6.6万,5.5万,675,5.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我在仙界当群主,不吃牛肉面 著,连载中,31.2万,57.6万,4337,57.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
大唐太子太嚣张,隔壁小皮 著,连载中,168.0万,2244.8万,9.2万,2244.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我的世界：最强玩家,哭无声岁月 著,连载中,77.3万,1559.7万,20.9万,1559.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
末世怪物乐园,且听风吟 著,连载中,97.1万,1761.8万,10.2万,1761.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
封印自己成祖神,羊子岩下 著,连载中,53.4万,965.8万,2.6万,965.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
洪荒：开局暴击无限倍,游云游水 著,连载中,66.4万,649.3万,2.8万,649.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
开局变成一只虚,三皇五帝 著,连载中,115.4万,596.8万,3.4万,596.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我能看到万物法则,一条咸鱼a 著,完本,99.9万,1704.2万,8.5万,1704.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
三国之我是皇太子,十十 著,完本,407.4万,1128.9万,2.1万,1128.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我洛克王国帝尊身份被妹妹曝光了,隔江 著,连载中,55.5万,330.4万,2.1万,330.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
西游：从天马开始进化,一颗梧桐木 著,连载中,260.6万,3683.7万,56.5万,3683.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我的幸运值只有亿点点,亿点点 著,完本,66.7万,1541.1万,7.7万,1541.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
三国之吕家霸业,穷得遥思 著,连载中,12.1万,7.3万,733,7.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
开局签到满级体验卡,硫酸铜 著,连载中,15.5万,29.7万,2296,29.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
全球通缉,黑森林 著,连载中,31.4万,97.3万,1.1万,97.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游之征战万界,红烧土豆块 著,连载中,20.1万,17.0万,1999,17.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
